cod_loja,cod_ap,cod_municipio,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18
17,2907509003001,2907509,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,29.4,FEATURE_05_VALUE_03,4,0.163328238612576,0.151976709736958,18.18524169,1.79471993395431,FEATURE_11_VALUE_02,FEATURE_12_VALUE_02,100.0,89.2,66.7,100.0,100.0,97.1
18,2922508001001,2922508,FEATURE_01_VALUE_08,FEATURE_02_VALUE_04,False,39.0,FEATURE_05_VALUE_03,4,0.104162103532515,0.0878070999373564,9.45164596,3.40066653064001,,,100.0,82.9,100.0,100.0,88.5,93.5
19,2909802003003,2909802,,FEATURE_02_VALUE_04,False,29.0,FEATURE_05_VALUE_03,5,0.104162103532515,0.0878070999373564,21.61351082,1.55770518871598,FEATURE_11_VALUE_06,FEATURE_12_VALUE_02,100.0,84.1,100.0,100.0,71.8,87.1
20,2903201003003,2903201,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,49.65,FEATURE_05_VALUE_03,6,0.217500440586027,0.204703612540212,51.87107068,3.2484829584584,,,96.9,88.4,0.0,100.0,86.6,89.2
22,2904605003002,2904605,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,35.35,FEATURE_05_VALUE_03,5,0.167816476803511,0.156849449792293,19.10111099,1.44393906577142,,,,,,,,
23,2910800004014,2910800,FEATURE_01_VALUE_08,FEATURE_02_VALUE_02,False,48.5,FEATURE_05_VALUE_03,7,0.147059856537899,0.138636778738881,222.33668762,1.61935976992136,,,,,,,,
24,2503704003003,2503704,,FEATURE_02_VALUE_06,False,47.0,FEATURE_05_VALUE_03,9,0.168799335750362,0.180555502115072,23.48771633,1.62784262017548,,,,,,,,
25,2510808003005,2510808,,FEATURE_02_VALUE_04,False,41.0,FEATURE_05_VALUE_03,4,0.196939586945641,0.259129776930745,48.00713988,1.88121978290724,,,100.0,88.8,100.0,100.0,75.0,89.0
26,3518800005022,3518800,FEATURE_01_VALUE_08,FEATURE_02_VALUE_03,False,58.34,FEATURE_05_VALUE_07,11,0.208766597327068,0.204542906224457,551.93508231,1.13226261548135,,,99.4,87.9,100.0,100.0,96.8,96.1
27,3550308005023,3550308,,FEATURE_02_VALUE_06,True,35.98,FEATURE_05_VALUE_02,3,0.190102227825834,0.179139940969186,5593.905463,2.81588342075523,,,,,,,,
29,3510500003002,3510500,,FEATURE_02_VALUE_06,False,44.5,FEATURE_05_VALUE_03,15,0.188305451804806,0.1865854460152,51.49758783,3.529920488541,,,88.0,48.9,0.0,100.0,52.5,60.4
30,3518701005001,3518701,,FEATURE_02_VALUE_06,False,30.15,FEATURE_05_VALUE_05,5,0.167281862123094,0.160720414119942,134.8093818,1.92783472030331,,,,,,,,
31,3537800003002,3537800,,FEATURE_02_VALUE_04,False,23.9,FEATURE_05_VALUE_03,6,0.272224777717028,0.257801533869253,12.32323444,3.65517115338926,,,,,,,,
32,3548500005006,3548500,,FEATURE_02_VALUE_03,False,50.35,FEATURE_05_VALUE_05,9,0.167281862123094,0.160720414119942,272.43093506,1.84346239106289,,,100.0,93.3,100.0,100.0,99.7,97.9
33,3548500005008,3548500,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,False,57.7,FEATURE_05_VALUE_03,13,0.167281862123094,0.160720414119942,272.43093506,1.84346239106289,,,93.7,93.0,100.0,100.0,99.8,97.2
34,3550308005058,3550308,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,True,30.01,FEATURE_05_VALUE_05,6,0.190102227825834,0.179139940969186,5593.905463,2.81588342075523,,,,,,,,
35,3550308005005,3550308,,FEATURE_02_VALUE_04,True,40.17,FEATURE_05_VALUE_03,8,0.190102227825834,0.179139940969186,5593.905463,2.81588342075523,,,100.0,92.7,66.7,100.0,96.9,96.6
36,3550308005101,3550308,,FEATURE_02_VALUE_06,True,36.09,FEATURE_05_VALUE_03,5,0.190102227825834,0.179139940969186,5593.905463,2.81588342075523,,,,,,,,
37,3504107003002,3504107,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,54.17,FEATURE_05_VALUE_03,7,0.17845901846104,0.174987368965328,59.49881792,2.91572816666302,,,76.8,89.1,100.0,50.0,71.6,74.2
38,3505708005012,3505708,,FEATURE_02_VALUE_03,False,34.69,FEATURE_05_VALUE_05,8,0.209495010496372,0.222475446927863,112.94164683,2.28767515012868,,,,,,,,
39,3507605003003,3507605,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,38.94,FEATURE_05_VALUE_03,6,0.17845901846104,0.174987368965328,75.67797745,3.11206547785765,,,100.0,92.5,100.0,100.0,97.2,97.8
40,3522109003002,3522109,,FEATURE_02_VALUE_04,False,33.77,FEATURE_05_VALUE_03,3,0.185025901101029,0.180884580988462,36.95095805,2.07852674024651,,,93.6,79.5,100.0,100.0,41.5,75.1
42,3543303003006,3543303,,FEATURE_02_VALUE_02,False,56.64,FEATURE_05_VALUE_03,10,0.190102227825834,0.179139940969186,53.77340014,1.66118475696867,,,88.0,90.9,100.0,100.0,83.4,89.4
43,3551603003001,3551603,,FEATURE_02_VALUE_04,False,34.85,FEATURE_05_VALUE_03,4,0.208946597752416,0.19412003379981,13.31059551,3.53094876593341,,,100.0,77.4,100.0,100.0,98.6,95.9
44,3304557005070,3304557,FEATURE_01_VALUE_08,FEATURE_02_VALUE_03,True,38.73,FEATURE_05_VALUE_03,8,0.0983988290578631,0.0894600495753896,2972.1393031,2.96450423067178,FEATURE_11_VALUE_07,FEATURE_12_VALUE_01,100.0,94.1,100.0,100.0,96.3,91.0
45,3304557005074,3304557,,FEATURE_02_VALUE_03,True,41.57,FEATURE_05_VALUE_03,6,0.0983988290578631,0.0894600495753896,2972.1393031,2.96450423067178,,,87.2,77.1,100.0,100.0,74.6,83.8
46,3304557005150,3304557,,FEATURE_02_VALUE_03,True,38.1,FEATURE_05_VALUE_02,5,0.0983988290578631,0.0894600495753896,2972.1393031,2.96450423067178,,,67.5,87.7,100.0,50.0,81.3,75.1
47,3306206003002,3306206,,FEATURE_02_VALUE_04,False,31.04,FEATURE_05_VALUE_03,8,0.166839249269824,0.158393968662814,8.17243458,2.82230751862723,,,89.5,96.3,66.7,100.0,96.5,94.5
48,3300100003002,3300100,FEATURE_01_VALUE_08,FEATURE_02_VALUE_06,False,35.9,FEATURE_05_VALUE_03,6,0.15476855018702,0.146909965387142,70.63396294,1.59340542607661,FEATURE_11_VALUE_01,FEATURE_12_VALUE_02,100.0,89.4,100.0,100.0,83.8,92.5
49,3303708003002,3303708,,FEATURE_02_VALUE_04,False,27.67,FEATURE_05_VALUE_03,6,0.140388787117158,0.127938947510433,10.58303591,2.36094059873454,,,100.0,89.2,100.0,100.0,94.7,96.4
50,3205309005001,3205309,,FEATURE_02_VALUE_06,True,25.78,FEATURE_05_VALUE_03,3,0.118748745112078,0.110059743182675,231.35517445,7.30593607305936,,,,,,,,
51,3500105003002,3500105,,FEATURE_02_VALUE_06,False,48.63,FEATURE_05_VALUE_03,10,0.229763458681685,0.215130567517491,17.75381067,2.85322985619722,,,100.0,58.1,100.0,100.0,43.6,72.6
52,3525300003004,3525300,,FEATURE_02_VALUE_03,False,53.85,FEATURE_05_VALUE_03,22,0.157424641174785,0.155198700948254,69.01192671,2.79167800785857,,,100.0,69.1,100.0,100.0,42.9,74.0
53,3507506003001,3507506,,FEATURE_02_VALUE_04,False,52.75,FEATURE_05_VALUE_03,10,0.165469467884666,0.153727633690906,73.75953977,2.86773298538173,,,100.0,74.5,100.0,100.0,92.1,93.1
54,3526704003001,3526704,,FEATURE_02_VALUE_06,False,47.38,FEATURE_05_VALUE_03,8,0.163362921787314,0.159692103536886,43.38799376,2.0123153700648,,,100.0,91.9,100.0,100.0,47.0,79.3
56,3529005005008,3529005,,FEATURE_02_VALUE_06,False,46.1,FEATURE_05_VALUE_03,11,0.200661497760196,0.201697063810708,101.77071788,5.60330336284406,,,100.0,86.7,100.0,100.0,75.5,88.9
57,3531308003001,3531308,,FEATURE_02_VALUE_06,False,61.7,FEATURE_05_VALUE_03,8,0.217695383616102,0.216985312284916,23.60571526,4.04399870592041,FEATURE_11_VALUE_06,FEATURE_12_VALUE_01,,,,,,
58,3533502003002,3533502,,FEATURE_02_VALUE_06,False,44.2,FEATURE_05_VALUE_03,12,0.242264630267499,0.246461436162829,18.27153908,2.52889259793137,,,100.0,87.5,100.0,100.0,93.5,95.6
59,3533908003002,3533908,,FEATURE_02_VALUE_04,False,36.34,FEATURE_05_VALUE_03,3,0.184631452253734,0.181666126738905,23.57195451,1.87406296851574,,,100.0,75.4,0.0,100.0,98.4,92.1
60,3538709005001,3538709,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,False,42.85,FEATURE_05_VALUE_03,22,0.226762845005806,0.203901727090584,207.51377522,5.6201446420862,,,87.4,77.2,66.7,100.0,94.7,90.1
61,3543402005011,3543402,,FEATURE_02_VALUE_02,True,46.69,FEATURE_05_VALUE_03,2,0.191442797204931,0.18346116273752,344.88946932,4.80247567621109,,,,,,,,
62,3557105003005,3557105,,FEATURE_02_VALUE_06,False,39.26,FEATURE_05_VALUE_03,8,0.214434663070268,0.217567761553064,46.76668811,5.47777120445233,,,100.0,96.6,66.7,100.0,99.2,98.1
63,3524105003002,3524105,,FEATURE_02_VALUE_03,False,46.68,FEATURE_05_VALUE_03,4,0.148790274075698,0.151885629825259,19.12735448,2.43938137288384,,,,,,,,
65,3505906003003,3505906,,FEATURE_02_VALUE_03,False,48.62,FEATURE_05_VALUE_03,7,0.145124629749489,0.142508409268664,26.08336673,1.65046460578653,,,87.2,87.0,0.0,100.0,69.2,78.4
66,1400100005013,1400100,FEATURE_01_VALUE_08,FEATURE_02_VALUE_02,False,46.24,FEATURE_05_VALUE_03,7,0.219853045889061,0.233171305073505,215.88556691,2.18263000679733,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,80.6,100.0,100.0,92.8,94.1
67,4314407004014,4314407,FEATURE_01_VALUE_08,FEATURE_02_VALUE_02,False,51.67,FEATURE_05_VALUE_03,32,0.18878349940586,0.194717892324217,120.40311983,2.04157224395038,,,100.0,92.7,100.0,100.0,87.6,94.7
68,4300406003003,4300406,,FEATURE_02_VALUE_04,False,38.65,FEATURE_05_VALUE_03,5,0.135344151971936,0.139809354799452,24.93925112,1.27390157836406,,,100.0,82.2,100.0,100.0,97.4,96.1
69,4321808003001,4321808,,FEATURE_02_VALUE_04,False,23.08,FEATURE_05_VALUE_03,4,0.148146307077701,0.159351286006094,9.16771724,4.08413314274045,,,89.5,85.4,100.0,100.0,65.1,82.6
70,4320701001001,4320701,,FEATURE_02_VALUE_04,True,26.94,FEATURE_05_VALUE_03,6,0.172953691320928,0.186006674820383,4.55947378,6.69164882226981,,,,,,,,
71,4322400003003,4322400,,FEATURE_02_VALUE_04,False,35.13,FEATURE_05_VALUE_03,7,0.135344151971936,0.139809354799452,37.16301555,1.54259093573566,,,,,,,,
72,2211001003012,2211001,FEATURE_01_VALUE_08,FEATURE_02_VALUE_03,False,40.0,FEATURE_05_VALUE_03,12,0.167290671388838,0.160557418176876,410.13469953,1.77673542632767,,,98.1,96.7,100.0,100.0,98.1,98.3
74,2302800003003,2302800,,FEATURE_02_VALUE_06,False,28.9,FEATURE_05_VALUE_03,16,0.136467319102916,0.124220631705045,18.40549202,1.29873503207876,,,,,,,,
76,5300108005021,5300108,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,True,80.0,FEATURE_05_VALUE_03,11,0.215966958345941,0.19728680271075,1562.67481722,3.67088303606042,,,100.0,92.8,0.0,100.0,99.2,93.6
77,5300108005004,5300108,,FEATURE_02_VALUE_02,True,40.0,FEATURE_05_VALUE_02,4,0.215966958345941,0.19728680271075,1562.67481722,3.67088303606042,,,100.0,92.2,100.0,100.0,94.4,96.7
78,3136702005006,3136702,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,False,37.8,FEATURE_05_VALUE_05,5,0.104638759550524,0.098191378187481,260.19592702,2.70132040541417,,,100.0,84.4,33.3,100.0,94.4,93.3
79,3103504003006,3103504,FEATURE_01_VALUE_08,FEATURE_02_VALUE_06,False,75.3,FEATURE_05_VALUE_03,10,0.146773165485083,0.137831795844566,49.89993954,2.58026783180094,,,91.0,86.6,33.3,100.0,91.3,90.5
80,3151800003004,3151800,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,62.4,FEATURE_05_VALUE_03,6,0.179821197822984,0.171360317418069,73.67541079,2.44383755811751,,,96.9,84.1,100.0,100.0,74.4,87.1
81,3170107005001,3170107,,FEATURE_02_VALUE_06,False,45.15,FEATURE_05_VALUE_03,13,0.120421260802142,0.121355924236445,146.74113982,2.79393777590136,,,,,,,,
83,3143906003004,3143906,,FEATURE_02_VALUE_04,False,22.92,FEATURE_05_VALUE_02,3,0.170510137202163,0.157266064096131,43.2424485,2.79686378341087,,,,,,,,
85,3139409003003,3139409,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,42.16,FEATURE_05_VALUE_03,11,0.194898152943889,0.181989580257864,21.03498972,1.15149002809636,,,100.0,79.4,100.0,100.0,100.0,96.6
86,3168705003003,3168705,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,54.58,FEATURE_05_VALUE_03,12,0.136679024386278,0.170647028455301,39.95977619,1.14230883461653,,,100.0,81.9,100.0,100.0,97.6,96.1
88,3170404003004,3170404,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,67.93,FEATURE_05_VALUE_03,8,0.234553708613303,0.230289700734553,21.4020779,2.41292361890284,,,96.9,66.9,33.3,100.0,62.1,75.8
89,3115300003004,3115300,,FEATURE_02_VALUE_04,False,45.5,FEATURE_05_VALUE_03,8,0.132321994729141,0.14267153111389,26.215262,2.69647166682396,,,81.6,80.6,100.0,50.0,74.5,75.1
90,3113404003003,3113404,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,41.85,FEATURE_05_VALUE_03,3,0.15491490479216,0.144985028825851,23.50227349,2.20307990570818,,,79.9,88.8,0.0,50.0,38.3,59.4
91,3104007003004,3104007,,FEATURE_02_VALUE_04,False,36.0,FEATURE_05_VALUE_03,4,0.140756903788479,0.135725150322651,43.63710418,3.91243960171365,,,,,,,,
92,3144300003001,3144300,,FEATURE_02_VALUE_04,False,40.8,FEATURE_05_VALUE_03,7,0.235674812853272,0.215144250965611,12.2024558,2.3906858877812,,,100.0,77.3,66.7,100.0,63.5,82.7
93,3122306005001,3122306,,FEATURE_02_VALUE_06,False,40.0,FEATURE_05_VALUE_03,6,0.141730364699942,0.137759025489549,101.38795507,2.16592736345994,,,,,,,,
94,3127701005010,3127701,,FEATURE_02_VALUE_06,False,43.05,FEATURE_05_VALUE_03,12,0.179198298159682,0.18571914671907,91.33986882,2.5147020257721,,,,,,,,
95,3134400003002,3134400,,FEATURE_02_VALUE_04,False,34.75,FEATURE_05_VALUE_03,4,0.10999071925894,0.110307113595844,15.95547212,2.6525198938992,,,69.6,80.9,100.0,50.0,69.1,70.1
96,3147006003004,3147006,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,39.17,FEATURE_05_VALUE_03,4,0.199195276960899,0.196620381302807,25.88832049,2.197150296066,,,100.0,75.3,100.0,100.0,47.8,76.5
97,3147907003005,3147907,,FEATURE_02_VALUE_06,False,51.33,FEATURE_05_VALUE_03,8,0.144267707432403,0.146216616139496,48.39503343,4.42000671841021,,,96.0,94.7,100.0,100.0,100.0,98.1
98,3167202005009,3167202,,FEATURE_02_VALUE_06,False,49.56,FEATURE_05_VALUE_03,6,0.154147549778918,0.154842352733579,95.74349095,1.7233431133055,,,,,,,,
100,5201108005007,5201108,,FEATURE_02_VALUE_04,True,32.0,FEATURE_05_VALUE_03,1,0.179929233493556,0.17866959160173,141.9016877,2.182863972103,,,,,,,,
101,5206206003002,5206206,,FEATURE_02_VALUE_04,False,31.3,FEATURE_05_VALUE_03,3,0.207150935969518,0.213091115220355,12.99390822,1.87617260787993,,,100.0,83.6,66.7,100.0,48.1,77.2
102,5205406001001,5205406,,FEATURE_02_VALUE_04,False,36.75,FEATURE_05_VALUE_03,3,0.262863038682888,0.263695244420228,8.00862262,4.56433429184353,,,88.0,68.1,100.0,100.0,89.3,87.8
104,5208608003003,5208608,,FEATURE_02_VALUE_04,True,35.0,FEATURE_05_VALUE_03,3,0.262863038682888,0.263695244420228,25.70475955,3.04103881886052,,,88.0,85.9,0.0,100.0,71.9,81.4
105,5210000003001,5210000,,FEATURE_02_VALUE_04,False,39.81,FEATURE_05_VALUE_03,9,0.179929233493556,0.17866959160173,17.7629603,1.94012766040005,,,100.0,92.7,0.0,100.0,93.6,93.3
107,5213087003002,5213087,,FEATURE_02_VALUE_04,False,38.0,FEATURE_05_VALUE_03,8,0.327743117089345,0.314843265251705,8.39856194,3.22258386774516,,,100.0,88.4,100.0,100.0,60.5,83.8
108,5215702001001,5215702,,FEATURE_02_VALUE_04,False,35.0,FEATURE_05_VALUE_03,5,0.269871237523897,0.251106055992609,7.60388964,3.78888341605729,FEATURE_11_VALUE_02,FEATURE_12_VALUE_02,69.6,76.3,100.0,50.0,99.4,80.5
109,5221403003003,5221403,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,True,45.0,FEATURE_05_VALUE_03,8,0.190896443211245,0.179423052902789,41.57618502,2.55419142813357,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,85.6,66.7,100.0,95.4,94.9
110,5103403005005,5103403,,FEATURE_02_VALUE_03,False,41.0,FEATURE_05_VALUE_03,16,0.196932279616043,0.194589228728957,332.69338717,2.7562968462796,,,,,,,,
111,5103403005008,5103403,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,False,31.0,FEATURE_05_VALUE_06,28,0.196932279616043,0.194589228728957,332.69338717,2.7562968462796,,,,,,,,
112,5107602005006,5107602,,FEATURE_02_VALUE_06,False,33.5,FEATURE_05_VALUE_03,10,0.231192177017002,0.229887184455233,117.41753453,3.25097529258778,,,,,,,,
113,5107909003004,5107909,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,48.25,FEATURE_05_VALUE_03,9,0.173184354672034,0.180092937941626,71.33892535,1.53945626404754,,,100.0,83.1,100.0,100.0,70.8,86.4
114,5005400003002,5005400,,FEATURE_02_VALUE_04,False,31.03,FEATURE_05_VALUE_03,7,0.198313984704114,0.218702781530092,19.20556853,2.32137053716514,,,57.0,81.7,100.0,50.0,16.4,47.7
115,5007901003001,5007901,,FEATURE_02_VALUE_04,False,31.15,FEATURE_05_VALUE_03,4,0.187376319818174,0.192752197078336,15.90971806,1.94723006523221,,,80.3,70.6,100.0,50.0,76.2,73.6
116,1702109003004,1702109,,FEATURE_02_VALUE_06,False,55.06,FEATURE_05_VALUE_05,18,0.19978112288034,0.193956831317594,64.10649649,2.35041102812854,,,100.0,80.0,100.0,100.0,82.4,90.7
118,4202909003005,4202909,,FEATURE_02_VALUE_04,False,36.29,FEATURE_05_VALUE_03,6,0.133753965158954,0.134263945143455,65.65163417,2.44349419670128,,,85.0,86.9,66.7,100.0,71.0,82.7
120,4204301003004,4204301,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,50.0,FEATURE_05_VALUE_03,7,0.281300147413915,0.298900224458223,29.49221404,6.88307040004405,,,100.0,85.6,100.0,100.0,98.8,97.2
121,4207304003001,4207304,,FEATURE_02_VALUE_04,False,40.22,FEATURE_05_VALUE_03,6,0.199854467713688,0.193531390534348,18.11469587,2.31653076352854,,,100.0,85.3,100.0,100.0,98.9,97.2
122,4208906003005,4208906,,FEATURE_02_VALUE_06,False,26.55,FEATURE_05_VALUE_03,5,0.146729639879962,0.156239747137473,84.14993523,2.44297187528629,,,,,,,,
123,4215802003004,4215802,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,50.01,FEATURE_05_VALUE_03,11,0.18968825724499,0.197435355538607,35.32046097,2.47108826727291,,,100.0,89.4,100.0,100.0,99.2,97.9
124,4218004003001,4218004,,FEATURE_02_VALUE_04,False,27.03,FEATURE_05_VALUE_03,6,0.173656269933165,0.17847465619242,12.96062451,2.82469916953844,,,100.0,86.5,100.0,100.0,99.0,97.6
125,4219507003002,4219507,,FEATURE_02_VALUE_04,False,41.28,FEATURE_05_VALUE_03,6,0.196014354331958,0.206273603158808,19.67242913,2.06739714699194,,,,,,,,
126,4216602005011,4216602,,FEATURE_02_VALUE_03,False,57.3,FEATURE_05_VALUE_05,41,0.133367965306623,0.132701362310555,130.67202359,1.72184461213298,,,100.0,74.5,100.0,100.0,73.9,82.1
128,4128104003003,4128104,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,50.33,FEATURE_05_VALUE_03,14,0.238142561347574,0.239869785200135,50.0635594,2.77218207691881,,,100.0,88.4,66.7,100.0,97.6,96.2
130,4204608005006,4204608,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,False,50.01,FEATURE_05_VALUE_05,8,0.146843471983604,0.146367254085373,97.4193907,3.38298263080061,,,100.0,98.8,100.0,100.0,100.0,99.8
131,4108304003010,4108304,,FEATURE_02_VALUE_06,False,41.82,FEATURE_05_VALUE_03,6,0.226926390167403,0.240252975131723,86.77401425,3.03280739398443,,,,,,,,
133,4113304003001,4113304,,FEATURE_02_VALUE_04,False,31.92,FEATURE_05_VALUE_03,4,0.224558757548723,0.235103331940825,7.87809747,3.11206547785765,,,87.2,93.7,100.0,100.0,94.6,93.8
134,4104808005013,4104808,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,True,36.62,FEATURE_05_VALUE_03,8,0.150747203241422,0.159639800738354,137.2950543,1.91829348611475,,,,,,,,
135,4116703001001,4116703,,FEATURE_02_VALUE_04,False,25.0,FEATURE_05_VALUE_03,2,0.150747203241422,0.159639800738354,2.95939757,8.66776458351391,,,85.0,94.6,100.0,100.0,77.1,87.3
136,4109401003007,4109401,FEATURE_01_VALUE_08,FEATURE_02_VALUE_06,False,56.52,FEATURE_05_VALUE_03,8,0.224558757548723,0.235103331940825,57.67302922,1.68420107115188,,,93.1,87.2,100.0,100.0,76.3,87.4
137,4101101001001,4101101,,FEATURE_02_VALUE_04,False,25.0,FEATURE_05_VALUE_03,3,0.189767840051998,0.188893403922115,6.89009823,4.79018969151178,,,100.0,71.2,0.0,100.0,65.3,79.4
138,4118501003002,4118501,,FEATURE_02_VALUE_06,False,50.5,FEATURE_05_VALUE_03,7,0.215692080100877,0.233340503447366,34.03462657,2.5312931110858,,,100.0,88.2,16.7,100.0,86.0,90.4
139,4119905004015,4119905,,FEATURE_02_VALUE_06,False,46.77,FEATURE_05_VALUE_03,10,0.167462213607307,0.130430417313579,136.44173731,2.3678096281059,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,,,,,,
140,4125506005001,4125506,,FEATURE_02_VALUE_02,True,56.84,FEATURE_05_VALUE_03,9,0.168921519796663,0.16765931392066,115.95884837,2.34982124574095,,,100.0,88.3,100.0,100.0,93.2,95.7
141,4102000003002,4102000,,FEATURE_02_VALUE_04,False,35.3,FEATURE_05_VALUE_03,3,0.201872171607552,0.210132418496876,9.32181169,2.93884268375114,,,,,,,,
142,4128005001001,4128005,,FEATURE_02_VALUE_04,False,29.05,FEATURE_05_VALUE_03,5,0.220758960298501,0.22757721194438,5.79885184,4.57372850347603,,,87.2,73.4,100.0,100.0,94.2,90.4
143,5208707005038,5208707,FEATURE_01_VALUE_08,FEATURE_02_VALUE_03,False,80.0,FEATURE_05_VALUE_05,14,0.190896443211245,0.179423052902789,661.41587319,2.7958400695605,,,97.6,79.2,86.7,100.0,86.7,90.5
144,5208707005038,5208707,FEATURE_01_VALUE_08,FEATURE_02_VALUE_03,False,43.52,FEATURE_05_VALUE_06,7,0.190896443211245,0.179423052902789,661.41587319,2.7958400695605,,,98.1,73.6,50.0,100.0,84.4,80.6
145,5208707005007,5208707,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,False,78.0,FEATURE_05_VALUE_03,8,0.190896443211245,0.179423052902789,661.41587319,2.7958400695605,FEATURE_11_VALUE_06,FEATURE_12_VALUE_02,85.1,88.3,0.0,100.0,70.2,79.3
146,5208707005002,5208707,,FEATURE_02_VALUE_03,False,58.05,FEATURE_05_VALUE_03,6,0.190896443211245,0.179423052902789,661.41587319,2.7958400695605,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,,,,,,
147,5208707005038,5208707,FEATURE_01_VALUE_08,FEATURE_02_VALUE_03,False,49.1,FEATURE_05_VALUE_05,9,0.190896443211245,0.179423052902789,661.41587319,2.7958400695605,,,94.3,84.5,100.0,100.0,71.4,85.7
